因子名称,用作条件的因子,使用的参数,归属指数,科目类别,partion_loc,start_day,end_day,trl_day,nmlz_days,年化收益率 （全时期）,超额收益（全时期）：,夏普比率 （全时期）,最大回撤率 （全时期）,年化收益率 （前2/3时期）,夏普比率 （前2/3时期）,最大回撤率 （前2/3时期）,年化收益率 （后1/3时期）,夏普比率 （后1/3时期）,最大回撤率 （后1/3时期）,IC值,ICIR
circ_mv,circ_mv,std_ratio,中证500,Long_bottom,BOTTOM,20130101,20201231,30,20,7.42%,-3.20%,0.40,-63.73%,11.72%,0.52,-54.18%,-0.49%,0.10,-31.49%,-0.0014,-0.0208
circ_mv,circ_mv,std_ratio,中证500,LT_SB,TOP,20130101,20201231,10,30,-11.91%,-21.88%,-1.43,-62.71%,-14.65%,-1.76,-56.04%,-6.15%,-0.75,-19.44%,-0.0006,-0.0077
circ_mv,circ_mv,std_ratio,中证500,Long_top,TOP,20130101,20201231,10,30,0.39%,-9.58%,0.17,-70.93%,2.73%,0.26,-58.54%,-4.00%,-0.06,-34.82%,-0.0006,-0.0077
circ_mv,circ_mv,std_ratio,中证500,Long_bottom,TOP,20130101,20201231,10,30,13.48%,3.51%,0.58,-58.23%,19.73%,0.74,-51.86%,1.86%,0.19,-35.68%,-0.0006,-0.0077
circ_mv,circ_mv,std_ratio,中证500,LT_SB,TOP,20130101,20201231,20,30,-9.18%,-19.80%,-1.10,-54.08%,-10.60%,-1.33,-44.40%,-6.30%,-0.67,-21.17%,-0.0031,-0.0376
circ_mv,circ_mv,std_ratio,中证500,Long_top,TOP,20130101,20201231,20,30,4.00%,-6.62%,0.29,-67.21%,7.03%,0.38,-55.53%,-1.90%,0.05,-33.81%,-0.0031,-0.0376
circ_mv,circ_mv,std_ratio,中证500,Long_bottom,TOP,20130101,20201231,20,30,14.26%,3.63%,0.62,-58.83%,19.53%,0.74,-50.64%,4.59%,0.31,-32.88%,-0.0031,-0.0376
circ_mv,circ_mv,std_ratio,中证500,LT_SB,TOP,20130101,20201231,30,30,-4.93%,-15.67%,-0.54,-40.99%,-5.96%,-0.68,-36.09%,-2.73%,-0.26,-19.61%,-0.0007,-0.0082
circ_mv,circ_mv,std_ratio,中证500,Long_top,TOP,20130101,20201231,30,30,6.74%,-4.00%,0.38,-66.37%,8.50%,0.43,-57.20%,3.22%,0.26,-28.41%,-0.0007,-0.0082
circ_mv,circ_mv,std_ratio,中证500,Long_bottom,TOP,20130101,20201231,30,30,11.82%,1.08%,0.54,-62.98%,14.94%,0.61,-50.20%,5.86%,0.35,-33.63%,-0.0007,-0.0082
